stop_id,stop_code,stop_name,stop_lat,stop_lon,routes,district_id,patterns,municipality_id
150056,,Sesimbra ( Estrada Nacional 378 Avenida Costa Azul ) Escola,38.449788,-9.102654,"{3201_0, 3202_0, 3203_0, 3204_0, 3205_0, 3206_0, 3207_0, 3208_0, 3209_0, 3210_0, 3211_0, 3212_0, 3213_0, 3221_0, 3536_0, 3544_0, 3545_0, 3549_0, 3549_1, 3625_0, 3635_0, 3642_0, 3721_0}",15,"{3201_0_2, 3202_0_2, 3203_0_2, 3204_0_2, 3205_0_2, 3206_0_2, 3207_0_2, 3208_0_2, 3209_0_2, 3210_0_2, 3211_0_2, 3212_0_2, 3213_0_3, 3221_0_2, 3536_0_2, 3544_0_1, 3545_0_2, 3549_0_2, 3549_1_2, 3625_0_2, 3635_0_2, 3642_0_1, 3721_0_2}",1511
150057,,Sesimbra ( Estrada Nacional 378 ) Pascoal,38.452807,-9.101971,"{3201_0, 3202_0, 3203_0, 3204_0, 3205_0, 3206_0, 3207_0, 3208_0, 3209_0, 3210_0, 3211_0, 3212_0, 3213_0, 3221_0, 3536_0, 3536_1, 3544_0, 3545_0, 3549_0, 3549_1, 3625_0, 3635_0, 3642_0, 3721_0}",15,"{3201_0_1, 3202_0_1, 3203_0_1, 3204_0_1, 3205_0_1, 3206_0_1, 3207_0_1, 3208_0_1, 3209_0_1, 3210_0_1, 3211_0_1, 3212_0_1, 3213_0_3, 3221_0_1, 3536_0_1, 3536_1_1, 3544_0_2, 3545_0_1, 3549_0_1, 3549_1_1, 3625_0_1, 3635_0_1, 3642_0_2, 3721_0_1}",1511
150058,,Sesimbra ( Estrada Nacional 378 ) Pascoal,38.452793,-9.101854,"{3201_0, 3202_0, 3203_0, 3204_0, 3205_0, 3206_0, 3207_0, 3208_0, 3209_0, 3210_0, 3211_0, 3212_0, 3213_0, 3221_0, 3536_0, 3544_0, 3545_0, 3549_0, 3549_1, 3625_0, 3635_0, 3642_0, 3721_0}",15,"{3201_0_2, 3202_0_2, 3203_0_2, 3204_0_2, 3205_0_2, 3206_0_2, 3207_0_2, 3208_0_2, 3209_0_2, 3210_0_2, 3211_0_2, 3212_0_2, 3213_0_3, 3221_0_2, 3536_0_2, 3544_0_1, 3545_0_2, 3549_0_2, 3549_1_2, 3625_0_2, 3635_0_2, 3642_0_1, 3721_0_2}",1511
150059,,Sesimbra ( Estrada Nacional 378 ) Boiças,38.454153,-9.101481,"{3201_0, 3202_0, 3203_0, 3204_0, 3205_0, 3206_0, 3207_0, 3208_0, 3209_0, 3210_0, 3211_0, 3212_0, 3213_0, 3221_0, 3536_0, 3536_1, 3544_0, 3545_0, 3549_0, 3549_1, 3625_0, 3635_0, 3642_0, 3721_0}",15,"{3201_0_1, 3202_0_1, 3203_0_1, 3204_0_1, 3205_0_1, 3206_0_1, 3207_0_1, 3208_0_1, 3209_0_1, 3210_0_1, 3211_0_1, 3212_0_1, 3213_0_3, 3221_0_1, 3536_0_1, 3536_1_1, 3544_0_2, 3545_0_1, 3549_0_1, 3549_1_1, 3625_0_1, 3635_0_1, 3642_0_2, 3721_0_1}",1511
150062,,Sesimbra ( Estrada Nacional 378 ) Boiças,38.454688,-9.101,"{3201_0, 3202_0, 3203_0, 3204_0, 3205_0, 3206_0, 3207_0, 3208_0, 3209_0, 3210_0, 3211_0, 3212_0, 3213_0, 3221_0, 3536_0, 3544_0, 3545_0, 3549_0, 3549_1, 3625_0, 3635_0, 3642_0, 3721_0}",15,"{3201_0_2, 3202_0_2, 3203_0_2, 3204_0_2, 3205_0_2, 3206_0_2, 3207_0_2, 3208_0_2, 3209_0_2, 3210_0_2, 3211_0_2, 3212_0_2, 3213_0_3, 3221_0_2, 3536_0_2, 3544_0_1, 3545_0_2, 3549_0_2, 3549_1_2, 3625_0_2, 3635_0_2, 3642_0_1, 3721_0_2}",1511
150063,,Estrada Nacional 378 - Barquinha,38.457245,-9.102619,"{3201_0, 3202_0, 3203_0, 3204_0, 3205_0, 3206_0, 3207_0, 3208_0, 3209_0, 3210_0, 3211_0, 3212_0, 3213_0, 3221_0, 3536_0, 3544_0, 3545_0, 3549_0, 3549_1, 3625_0, 3635_0, 3642_0, 3721_0}",15,"{3201_0_2, 3202_0_2, 3203_0_2, 3204_0_2, 3205_0_2, 3206_0_2, 3207_0_2, 3208_0_2, 3209_0_2, 3210_0_2, 3211_0_2, 3212_0_2, 3213_0_3, 3221_0_2, 3536_0_2, 3544_0_1, 3545_0_2, 3549_0_2, 3549_1_2, 3625_0_2, 3635_0_2, 3642_0_1, 3721_0_2}",1511
150064,,Estrada Nacional 378 - Barquinha,38.457139,-9.102596,"{3201_0, 3202_0, 3203_0, 3204_0, 3205_0, 3206_0, 3207_0, 3208_0, 3209_0, 3210_0, 3211_0, 3212_0, 3213_0, 3221_0, 3536_0, 3536_1, 3544_0, 3545_0, 3549_0, 3549_1, 3625_0, 3635_0, 3642_0, 3721_0}",15,"{3201_0_1, 3202_0_1, 3203_0_1, 3204_0_1, 3205_0_1, 3206_0_1, 3207_0_1, 3208_0_1, 3209_0_1, 3210_0_1, 3211_0_1, 3212_0_1, 3213_0_3, 3221_0_1, 3536_0_1, 3536_1_1, 3544_0_2, 3545_0_1, 3549_0_1, 3549_1_1, 3625_0_1, 3635_0_1, 3642_0_2, 3721_0_1}",1511
150065,,Santana ( Estrada Nacional 378 Á ),38.459659,-9.103861,"{3203_0, 3204_0, 3205_0, 3206_0, 3207_0, 3208_0, 3210_0, 3211_0, 3212_0, 3213_0, 3221_0, 3536_0, 3536_1, 3544_0, 3545_0, 3549_0, 3549_1, 3625_0, 3635_0, 3642_0, 3721_0}",15,"{3203_0_1, 3204_0_1, 3205_0_1, 3206_0_1, 3207_0_1, 3208_0_1, 3210_0_1, 3211_0_1, 3212_0_1, 3213_0_3, 3221_0_1, 3536_0_1, 3536_1_1, 3544_0_2, 3545_0_1, 3549_0_1, 3549_1_1, 3625_0_1, 3635_0_1, 3642_0_2, 3721_0_1}",1511
150066,,Santana ( Estrada Nacional 378 Á ),38.45966,-9.103543,"{3203_0, 3204_0, 3205_0, 3206_0, 3207_0, 3208_0, 3210_0, 3211_0, 3212_0, 3213_0, 3221_0, 3536_0, 3544_0, 3545_0, 3549_0, 3549_1, 3625_0, 3635_0, 3642_0, 3721_0}",15,"{3203_0_2, 3204_0_2, 3205_0_2, 3206_0_2, 3207_0_2, 3208_0_2, 3210_0_2, 3211_0_2, 3212_0_2, 3213_0_3, 3221_0_2, 3536_0_2, 3544_0_1, 3545_0_2, 3549_0_2, 3549_1_2, 3625_0_2, 3635_0_2, 3642_0_1, 3721_0_2}",1511
150067,,Santana - Jardim,38.462268,-9.102561,"{3201_0, 3202_0, 3203_0, 3204_0, 3205_0, 3206_0, 3207_0, 3208_0, 3209_0, 3210_0, 3211_0, 3212_0, 3213_0, 3215_0, 3217_0, 3221_0, 3536_0, 3536_1, 3544_0, 3545_0, 3549_0, 3549_1, 3625_0, 3635_0, 3640_0, 3642_0, 3721_0}",15,"{3201_0_1, 3202_0_1, 3203_0_1, 3204_0_1, 3205_0_1, 3206_0_1, 3207_0_1, 3208_0_1, 3209_0_1, 3210_0_1, 3211_0_1, 3212_0_1, 3213_0_3, 3215_0_2, 3217_0_2, 3221_0_1, 3536_0_1, 3536_1_1, 3544_0_2, 3545_0_1, 3549_0_1, 3549_1_1, 3625_0_1, 3635_0_1, 3640_0_2, 3642_0_2, 3721_0_1}",1511
