line_id,line_name,line_routes,line_pattern,color,municipality_id
3018,Charneca da Caparica - Sobreda,['3018_0'],"['3018_0_2', '3018_0_1']",#C61D23,['1503']
3019,Charneca da Caparica - Trafaria (Terminal),['3019_0'],"['3019_0_2', '3019_0_1']",#C61D23,['1503']
3020,Charneca da Caparica | Circular,['3020_0'],"['3020_0_2', '3020_0_1']",#3D85C6,['1503']
3021,Costa da Caparica (Terminal) - Monte da Caparica (FCT),['3021_0'],"['3021_0_2', '3021_0_1']",#C61D23,['1503']
3022,Costa da Caparica (Terminal) - Cacilhas (Terminal),['3022_0'],"['3022_0_2', '3022_0_1']",#C61D23,['1503']
3023,Costa da Caparica (Terminal) - Laranjeiro,['3023_0'],"['3023_0_2', '3023_0_1']",#C61D23,['1503']
3024,Costa da Caparica (Terminal) - Pragal (Estação),['3024_0'],"['3024_0_2', '3024_0_1']",#C61D23,['1503']
3025,"Costa da Caparica (Terminal) - Pragal (Estação), via IC20",['3025_0'],"['3025_0_2', '3025_0_1']",#C61D23,['1503']
3026,Cova da Piedade - Hospital Garcia de Orta,"['3026_1', '3026_0']","['3026_1_2', '3026_1_1', '3026_0_2', '3026_0_1']",#3D85C6,['1503']
3027,Hospital Garcia de Orta - Sobreda,['3027_0'],"['3027_0_2', '3027_0_1']",#C61D23,['1503']
3028,Lazarim | Circular,['3028_0'],['3028_0_3'],#3D85C6,['1503']
3029,Marco Cabaço | Circular,['3029_0'],"['3029_0_2', '3029_0_1']",#3D85C6,['1503']
3030,Fonte da Telha - Monte da Caparica (FCT),['3030_0'],"['3030_0_2', '3030_0_1']",#C61D23,['1503']
3033,Monte da Caparica | Circular,['3033_0'],['3033_0_3'],#3D85C6,['1503']
3034,Porto Brandão (Terminal) - Quinta do Texugo,['3034_0'],"['3034_0_2', '3034_0_1']",#C61D23,['1503']
3037,Quintinha | Circular,['3037_0'],"['3037_0_2', '3037_0_1']",#3D85C6,['1503']
3038,Banática - Porto Brandão,['3038_0'],"['3038_0_2', '3038_0_1']",#3D85C6,['1503']
3040,Cacilhas - Quinta do Texugo,"['3040_1', '3040_0']","['3040_1_2', '3040_1_1', '3040_0_2', '3040_0_1']",#C61D23,['1503']
3041,Cacilhas (Terminal) - Caparica (Pilotos),['3041_0'],"['3041_0_2', '3041_0_1']",#C61D23,['1503']
3101,Amora - Foros de Amora (Estação),['3101_0'],"['3101_0_2', '3101_0_1']",#3D85C6,['1510']
3103,"Corroios (Estação) - Paio Pires (Centro), via Farinheiras",['3103_0'],"['3103_0_2', '3103_0_1']",#C61D23,['1510']
3104,Corroios (Estação) - Vale de Milhaços,['3104_0'],"['3104_0_2', '3104_0_1']",#C61D23,['1510']
3105,Fernão Ferro - Fogueteiro (Estação),['3105_0'],"['3105_0_2', '3105_0_1']",#C61D23,['1510']
3106,Coina (Estação) - Fernão Ferro,['3106_0'],"['3106_0_2', '3106_0_1']",#3D85C6,['1510']
3107,Fernão Ferro - Escola Básica Pinhal Frades,['3107_0'],"['3107_0_2', '3107_0_1']",#3D85C6,"['1510', '1511']"
3108,Fogueteiro (Quinta da Mata) - Foros de Amora (Estação),['3108_0'],"['3108_0_2', '3108_0_1']",#3D85C6,['1510']
3109,Fogueteiro (Estação) - Parque Empresarial do Seixal,['3109_0'],"['3109_0_2', '3109_0_1']",#C61D23,['1510']
3110,Fogueteiro (Estação) - Redondos,['3110_0'],"['3110_0_2', '3110_0_1']",#C61D23,['1510']
3111,Fogueteiro (Estação) - Seixal (Terminal Fluvial),"['3111_1', '3111_0']","['3111_1_2', '3111_1_1', '3111_0_2', '3111_0_1']",#C61D23,['1510']
3112,"Fogueteiro (Estação) - Seixal (Terminal Fluvial), via Paio Pires",['3112_0'],"['3112_0_2', '3112_0_1']",#3D85C6,['1510']
3113,"Fogueteiro (Estação) - Seixal (Terminal Fluvial), via Quinta do Cabral",['3113_0'],"['3113_0_2', '3113_0_1']",#3D85C6,['1510']
3114,Foros de Amora (Estação) - Paio Pires (Quinta Flamância),['3114_0'],"['3114_0_2', '3114_0_1']",#C61D23,['1510']
3116,"Marisol (Valadares) - Seixal (Terminal Fluvial), via Corroios (Estação)","['3116_1', '3116_0']","['3116_1_2', '3116_1_1', '3116_0_2', '3116_0_1']",#C61D23,"['1510', '1503']"
3118,Marisol (Valadares) - Seixal (Terminal Fluvial),"['3118_1', '3118_0']","['3118_1_2', '3118_1_1', '3118_0_2', '3118_0_1']",#C61D23,"['1510', '1503']"
